name,meal_type,total_calories,total_protein,total_carbs,total_fats,estimated_cost,diet_tags,allergens
Boiled Itlog na Maalat with Kamote,breakfast,280,16,38,8,35,,eggs
Scrambled Egg with Ampalaya,breakfast,260,20,12,14,40,vegetarian,eggs
Tinapa with Brown Rice,breakfast,420,38,52,10,65,halal,fish
Boiled Eggs with Sauteed Kangkong,breakfast,280,22,10,14,35,vegetarian,eggs
Egg White Tortang Talong,breakfast,240,22,15,8,40,vegetarian,eggs
Lugaw with Boiled Egg,breakfast,320,18,48,6,45,vegetarian,eggs
Grilled Bangus with Kamote,breakfast,420,42,38,12,90,halal,fish
Oatmeal with Coco Sugar and Saba,breakfast,360,10,62,6,40,"vegan,vegetarian",gluten
Egg White Pandesal Sandwich,breakfast,300,24,35,5,45,vegetarian,"eggs,gluten"
Low Fat Arroz Caldo,breakfast,320,28,48,4,65,halal,
Boiled Kamote with Itlog Prito Low Oil,breakfast,310,14,48,8,38,vegetarian,eggs
Tuna Sinangag Brown Rice,breakfast,440,40,52,8,65,halal,fish
Ampalaya Omelette,breakfast,220,18,8,12,35,vegetarian,eggs
Steamed Saba with Boiled Egg,breakfast,260,12,42,8,25,vegetarian,eggs
Low Fat Champorado,breakfast,300,8,58,4,40,"vegan,vegetarian",
Sinigang na Hipon Low Fat,lunch,320,38,22,5,125,halal,shellfish
Tinolang Manok No Skin,lunch,300,42,15,4,90,halal,
Grilled Bangus with Ensalada,lunch,380,48,8,14,115,halal,fish
Chicken Breast Sinigang,lunch,360,48,22,5,110,halal,
Ginisang Mongo No Pork,lunch,340,22,50,5,60,"vegan,vegetarian",
Steamed Tilapia with Ginger,lunch,300,46,5,8,85,halal,fish
Low Fat Chicken Adobo,lunch,380,50,12,10,100,halal,soy
Grilled Chicken Inasal No Skin,lunch,380,55,8,10,115,halal,
Pinakbet No Bagoong Low Oil,lunch,240,10,32,8,70,"vegan,vegetarian",
Sinigang na Salmon Low Fat,lunch,400,48,20,12,155,halal,fish
Steamed Chicken with Pechay,lunch,280,42,10,5,90,halal,
Ginataang Sitaw at Kalabasa No Fatty Meat,lunch,300,12,38,10,75,vegetarian,dairy
Tinolang Isda Low Oil,lunch,280,38,12,6,90,halal,fish
Chicken Breast Kare-Kare Low Fat,lunch,380,46,22,12,140,halal,nuts
Paksiw na Isda,lunch,300,38,10,12,85,halal,fish
Nilagang Manok No Skin,lunch,280,42,14,4,90,halal,
Grilled Pusit Low Oil,lunch,280,38,8,8,120,halal,shellfish
Steamed Hipon with Calamansi,lunch,240,38,4,5,130,halal,shellfish
Low Fat Mechado Chicken,lunch,360,46,22,8,120,halal,
Boiled Pechay with Tuna,lunch,260,35,10,6,75,halal,fish
Grilled Liempo Lean Cut,lunch,420,42,5,22,135,,
Chicken Afritada Low Fat,lunch,360,44,25,8,110,halal,
Steamed Labanos with Bangus,lunch,280,38,12,8,90,halal,fish
Monggo with Malunggay,lunch,300,18,48,4,55,"vegan,vegetarian",
Grilled Tanigue Steak,lunch,380,50,5,14,160,halal,fish
Low Calorie Tortang Talong,lunch,240,16,18,10,50,vegetarian,eggs
Lato Salad with Grilled Chicken,lunch,300,45,10,6,115,halal,
Steamed Clams with Ginger,lunch,220,30,8,4,120,halal,shellfish
Chicken Breast Tinola with Malunggay,lunch,320,44,14,5,90,halal,
Sinigang na Bangus Low Fat,dinner,340,46,15,10,110,halal,fish
Steamed Chicken Breast with Sayote,dinner,280,42,12,4,90,halal,
Grilled Salmon Low Oil,dinner,420,50,5,20,175,halal,fish
Tinolang Manok with Malunggay,dinner,300,42,14,5,90,halal,
Boiled Pork Liempo Lean,dinner,380,38,5,22,125,,
Grilled Tilapia with Ampalaya,dinner,300,46,12,8,88,halal,fish
Low Fat Chicken Binakol,dinner,280,40,14,4,100,halal,
Steamed Bangus with Tausi,dinner,360,46,10,14,115,halal,"fish,soy"
Grilled Pork Tenderloin Low Oil,dinner,380,46,5,18,125,,
Chicken Breast Paksiw,dinner,300,44,12,6,90,halal,
Steamed Lapu-Lapu,dinner,300,48,5,8,180,halal,fish
Low Fat Beef Sinigang,dinner,380,42,22,10,145,,
Grilled Chicken Thigh No Skin,dinner,340,46,5,14,100,halal,
Steamed Shrimp with Veggies,dinner,260,38,10,5,140,halal,shellfish
Nilagang Baka Lean Cut,dinner,360,45,15,12,140,,
Low Calorie Ginataang Isda,dinner,340,40,12,14,110,halal,"fish,dairy"
Baked Bangus with Tomato Onion,dinner,360,46,12,14,110,halal,fish
Chicken Breast with Ensaladang Talong,dinner,300,44,12,6,95,halal,
Grilled Squid Low Oil,dinner,260,36,8,6,120,halal,shellfish
Steamed Talaba,dinner,200,22,8,6,130,halal,shellfish
Boiled Saging Saba,snack,120,1,28,0,12,"vegan,vegetarian",
Taho Low Sugar,snack,140,10,18,2,22,vegetarian,soy
Boiled Kamote Small,snack,120,2,28,0,15,"vegan,vegetarian",
Steamed Mais,snack,150,4,32,1,18,"vegan,vegetarian",
Boiled Mani Unsalted,snack,180,8,12,12,22,"vegan,vegetarian",nuts
Buko Meat,snack,140,1,20,6,28,"vegan,vegetarian",
Calamansi Juice No Sugar,snack,30,0,8,0,15,"vegan,vegetarian",
Saging na Saba Boiled,snack,120,1,28,0,12,"vegan,vegetarian",
Lato Seaweed Salad,snack,80,3,12,1,35,"vegan,vegetarian",
Boiled Gabi,snack,140,2,32,0,18,"vegan,vegetarian",
Itlog na Maalat Half,snack,110,7,1,8,14,,eggs
Singkamas with Vinegar,snack,80,1,18,0,18,"vegan,vegetarian",
Cucumber with Calamansi,snack,50,1,10,0,12,"vegan,vegetarian",
Boiled Tokwa Low Oil,snack,150,14,4,8,30,"vegan,vegetarian",soy
Banana Saba with Peanut Butter,snack,200,6,32,8,25,"vegan,vegetarian",nuts
Malunggay Smoothie,snack,120,5,18,2,30,"vegan,vegetarian",
Steamed Edamame,snack,160,12,14,6,42,"vegan,vegetarian",soy
Grilled Corn No Butter,snack,130,4,28,1,18,"vegan,vegetarian",
Canned Tuna No Oil,snack,120,26,0,1,38,halal,fish
Hard Boiled Egg with Singkamas,snack,160,12,18,8,20,vegetarian,eggs
Pinakbet Salad No Oil,snack,90,4,15,2,40,"vegan,vegetarian",
Buko Juice Fresh,snack,90,1,20,0,28,"vegan,vegetarian",
Steamed Sitaw,snack,70,4,12,0,18,"vegan,vegetarian",
Boiled Bataw Beans,snack,150,10,24,1,22,"vegan,vegetarian",
Ginisang Ampalaya No Oil,snack,80,4,10,2,22,"vegan,vegetarian",
Boiled Green Papaya,snack,80,1,18,0,18,"vegan,vegetarian",
Boiled Upo,snack,60,1,12,0,14,"vegan,vegetarian",
Tuna Lettuce Wrap,snack,140,24,5,3,60,halal,fish
Scrambled Egg White 3pcs,snack,100,18,1,0,18,vegetarian,eggs
Boiled Monggo Small,snack,160,10,26,1,20,"vegan,vegetarian",
Unsweetened Soy Milk,snack,80,7,4,4,28,"vegan,vegetarian",soy
Steamed Pechay with Garlic,snack,60,3,8,2,15,"vegan,vegetarian",
Boiled Taro Small,snack,130,2,28,0,18,"vegan,vegetarian",
Fresh Buko Meat Strips,snack,120,1,18,5,25,"vegan,vegetarian",
Grilled Eggplant with Egg,snack,140,10,12,6,28,vegetarian,eggs
Boiled Labanos Strips,snack,50,1,10,0,12,"vegan,vegetarian",
Boiled Itlog na Maalat with Kamote,breakfast,280,16,38,8,35,,eggs
Scrambled Egg with Ampalaya,breakfast,260,20,12,14,40,vegetarian,eggs
Tinapa with Brown Rice,breakfast,420,38,52,10,65,halal,fish
Boiled Eggs with Sauteed Kangkong,breakfast,280,22,10,14,35,vegetarian,eggs
Egg White Tortang Talong,breakfast,240,22,15,8,40,vegetarian,eggs
Lugaw with Boiled Egg,breakfast,320,18,48,6,45,vegetarian,eggs
Grilled Bangus with Kamote,breakfast,420,42,38,12,90,halal,fish
Oatmeal with Coco Sugar and Saba,breakfast,360,10,62,6,40,"vegan,vegetarian",gluten
Egg White Pandesal Sandwich,breakfast,300,24,35,5,45,vegetarian,"eggs,gluten"
Low Fat Arroz Caldo,breakfast,320,28,48,4,65,halal,
Boiled Kamote with Itlog Prito Low Oil,breakfast,310,14,48,8,38,vegetarian,eggs
Tuna Sinangag Brown Rice,breakfast,440,40,52,8,65,halal,fish
Ampalaya Omelette,breakfast,220,18,8,12,35,vegetarian,eggs
Steamed Saba with Boiled Egg,breakfast,260,12,42,8,25,vegetarian,eggs
Low Fat Champorado,breakfast,300,8,58,4,40,"vegan,vegetarian",
Sinigang na Hipon Low Fat,lunch,320,38,22,5,125,halal,shellfish
Tinolang Manok No Skin,lunch,300,42,15,4,90,halal,
Grilled Bangus with Ensalada,lunch,380,48,8,14,115,halal,fish
Chicken Breast Sinigang,lunch,360,48,22,5,110,halal,
Ginisang Mongo No Pork,lunch,340,22,50,5,60,"vegan,vegetarian",
Steamed Tilapia with Ginger,lunch,300,46,5,8,85,halal,fish
Low Fat Chicken Adobo,lunch,380,50,12,10,100,halal,soy
Grilled Chicken Inasal No Skin,lunch,380,55,8,10,115,halal,
Pinakbet No Bagoong Low Oil,lunch,240,10,32,8,70,"vegan,vegetarian",
Sinigang na Salmon Low Fat,lunch,400,48,20,12,155,halal,fish
Steamed Chicken with Pechay,lunch,280,42,10,5,90,halal,
Ginataang Sitaw at Kalabasa No Fatty Meat,lunch,300,12,38,10,75,vegetarian,dairy
Tinolang Isda Low Oil,lunch,280,38,12,6,90,halal,fish
Chicken Breast Kare-Kare Low Fat,lunch,380,46,22,12,140,halal,nuts
Paksiw na Isda,lunch,300,38,10,12,85,halal,fish
Nilagang Manok No Skin,lunch,280,42,14,4,90,halal,
Grilled Pusit Low Oil,lunch,280,38,8,8,120,halal,shellfish
Steamed Hipon with Calamansi,lunch,240,38,4,5,130,halal,shellfish
Low Fat Mechado Chicken,lunch,360,46,22,8,120,halal,
Boiled Pechay with Tuna,lunch,260,35,10,6,75,halal,fish
Grilled Liempo Lean Cut,lunch,420,42,5,22,135,,
Chicken Afritada Low Fat,lunch,360,44,25,8,110,halal,
Steamed Labanos with Bangus,lunch,280,38,12,8,90,halal,fish
Monggo with Malunggay,lunch,300,18,48,4,55,"vegan,vegetarian",
Grilled Tanigue Steak,lunch,380,50,5,14,160,halal,fish
Low Calorie Tortang Talong,lunch,240,16,18,10,50,vegetarian,eggs
Lato Salad with Grilled Chicken,lunch,300,45,10,6,115,halal,
Steamed Clams with Ginger,lunch,220,30,8,4,120,halal,shellfish
